county_id,No. of Planned Parenthood clinics,No. of federally qualified health centers,No. of female contraceptive clients served at Planned Parenthood clinics,No. of female contraceptive clients served at federally qualified health centers,No. of female contraceptive clients served at health department clinics,No. of female contraceptive clients served at hospital-based clinics,No. of female contraceptive clients served at other clinics,No. of health department clinics,No. of hospital-based clinics,No. of other clinics,Total no. of female contraceptive clients served at publicly funded clinics,"Total no. of female contraceptive clients served at publicly funded clinics, younger than 20",Total no. of women aged 13-44 with potential demand for contraceptive services and supplies,Total no. of women aged 20-44 with potential demand for contraceptive services and supplies,Total publicly funded clinics
10001,1.0,1.0,980.0,290.0,1340.0,0.0,830.0,5.0,0.0,4.0,3440.0,1110.0,22250.0,19490.0,11.0
10003,2.0,6.0,3220.0,1980.0,2230.0,0.0,850.0,9.0,0.0,3.0,8280.0,2630.0,72620.0,64040.0,20.0
10005,0.0,2.0,0.0,1190.0,1570.0,0.0,0.0,8.0,0.0,0.0,2770.0,720.0,20480.0,18100.0,10.0
1001,0.0,1.0,0.0,170.0,870.0,0.0,0.0,1.0,0.0,0.0,1040.0,230.0,6660.0,5770.0,2.0
1003,0.0,4.0,0.0,1020.0,990.0,0.0,0.0,2.0,0.0,0.0,2010.0,500.0,22880.0,20020.0,6.0
1005,0.0,1.0,0.0,40.0,900.0,0.0,0.0,2.0,0.0,0.0,940.0,180.0,2370.0,2030.0,3.0
1007,0.0,4.0,0.0,200.0,510.0,0.0,0.0,1.0,0.0,0.0,710.0,170.0,2360.0,2090.0,5.0
1009,0.0,1.0,0.0,90.0,1200.0,0.0,0.0,1.0,0.0,0.0,1290.0,260.0,6320.0,5500.0,2.0
1011,0.0,0.0,0.0,0.0,200.0,0.0,0.0,1.0,0.0,0.0,200.0,30.0,1000.0,860.0,1.0
1013,0.0,0.0,0.0,0.0,600.0,0.0,0.0,1.0,0.0,0.0,600.0,140.0,2190.0,1880.0,1.0
1015,0.0,2.0,0.0,190.0,2340.0,0.0,0.0,1.0,0.0,0.0,2530.0,540.0,13870.0,12110.0,3.0
1017,0.0,0.0,0.0,0.0,930.0,0.0,0.0,1.0,0.0,0.0,930.0,210.0,3870.0,3420.0,1.0
1019,0.0,1.0,0.0,90.0,530.0,0.0,0.0,1.0,0.0,0.0,620.0,180.0,2370.0,1990.0,2.0
1021,0.0,2.0,0.0,220.0,1010.0,0.0,0.0,1.0,0.0,0.0,1240.0,340.0,5060.0,4450.0,3.0
1023,0.0,1.0,0.0,70.0,460.0,0.0,0.0,1.0,0.0,0.0,530.0,140.0,1280.0,1090.0,2.0
1025,0.0,0.0,0.0,0.0,720.0,0.0,0.0,1.0,0.0,0.0,720.0,190.0,2640.0,2240.0,1.0
1027,0.0,1.0,0.0,90.0,470.0,0.0,0.0,1.0,0.0,0.0,560.0,150.0,1370.0,1160.0,2.0
1029,0.0,1.0,0.0,90.0,400.0,0.0,0.0,1.0,0.0,0.0,490.0,130.0,1440.0,1220.0,2.0
1031,0.0,1.0,0.0,40.0,1030.0,0.0,0.0,1.0,0.0,0.0,1070.0,210.0,5900.0,5130.0,2.0
1033,0.0,1.0,0.0,250.0,1430.0,0.0,0.0,1.0,0.0,0.0,1680.0,380.0,6020.0,5260.0,2.0
1035,0.0,1.0,0.0,70.0,390.0,0.0,0.0,1.0,0.0,0.0,460.0,120.0,1230.0,1050.0,2.0
1037,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,100.0,30.0,1010.0,870.0,1.0
1039,0.0,0.0,0.0,0.0,730.0,0.0,0.0,1.0,0.0,0.0,730.0,210.0,3690.0,3180.0,1.0
1041,0.0,1.0,0.0,40.0,530.0,0.0,0.0,1.0,0.0,0.0,570.0,120.0,1420.0,1220.0,2.0
1043,0.0,1.0,0.0,90.0,1750.0,0.0,0.0,1.0,0.0,0.0,1840.0,420.0,9070.0,7910.0,2.0
1045,0.0,1.0,0.0,40.0,1000.0,0.0,0.0,1.0,0.0,0.0,1040.0,220.0,5800.0,5090.0,2.0
1047,0.0,0.0,0.0,0.0,1230.0,0.0,0.0,1.0,0.0,0.0,1230.0,300.0,4990.0,4290.0,1.0
1049,0.0,4.0,0.0,220.0,1400.0,0.0,0.0,1.0,0.0,0.0,1620.0,290.0,7390.0,6350.0,5.0
1051,0.0,1.0,0.0,170.0,800.0,0.0,0.0,1.0,0.0,0.0,960.0,260.0,10320.0,9140.0,2.0
1053,0.0,2.0,0.0,140.0,1010.0,0.0,60.0,2.0,0.0,1.0,1210.0,340.0,3720.0,3180.0,5.0
1055,0.0,8.0,0.0,740.0,2400.0,0.0,0.0,1.0,0.0,0.0,3150.0,760.0,11730.0,10260.0,9.0
1057,0.0,0.0,0.0,0.0,450.0,0.0,0.0,1.0,0.0,0.0,450.0,100.0,1550.0,1330.0,1.0
1059,0.0,0.0,0.0,0.0,960.0,0.0,0.0,1.0,0.0,0.0,960.0,190.0,3270.0,2830.0,1.0
1061,0.0,2.0,0.0,80.0,1560.0,0.0,0.0,1.0,0.0,0.0,1640.0,200.0,2800.0,2430.0,3.0
1063,0.0,1.0,0.0,40.0,410.0,0.0,0.0,1.0,0.0,0.0,440.0,90.0,830.0,710.0,2.0
1065,0.0,1.0,0.0,40.0,620.0,0.0,0.0,1.0,0.0,0.0,660.0,130.0,1760.0,1520.0,2.0
1067,0.0,1.0,0.0,40.0,380.0,0.0,0.0,2.0,0.0,0.0,420.0,110.0,1780.0,1550.0,3.0
1069,0.0,1.0,0.0,40.0,3310.0,0.0,0.0,1.0,0.0,0.0,3360.0,700.0,12500.0,10980.0,2.0
1071,0.0,6.0,0.0,100.0,630.0,0.0,0.0,1.0,0.0,0.0,730.0,210.0,5620.0,4900.0,7.0
1073,1.0,4.0,90.0,400.0,7400.0,0.0,0.0,5.0,0.0,0.0,7890.0,1320.0,86980.0,77140.0,10.0
1075,0.0,1.0,0.0,40.0,410.0,0.0,0.0,1.0,0.0,0.0,450.0,120.0,1320.0,1120.0,2.0
1077,0.0,2.0,0.0,260.0,2260.0,0.0,0.0,1.0,0.0,0.0,2510.0,470.0,11160.0,9680.0,3.0
1079,0.0,1.0,0.0,170.0,940.0,0.0,0.0,1.0,0.0,0.0,1110.0,300.0,3700.0,3270.0,2.0
1081,0.0,0.0,0.0,0.0,1590.0,0.0,0.0,1.0,0.0,0.0,1590.0,300.0,25090.0,21950.0,1.0
1083,0.0,1.0,0.0,210.0,1720.0,0.0,0.0,1.0,0.0,0.0,1920.0,370.0,10640.0,9300.0,2.0
1085,0.0,1.0,0.0,170.0,360.0,0.0,0.0,1.0,0.0,0.0,530.0,130.0,1160.0,1010.0,2.0
1087,0.0,1.0,0.0,90.0,630.0,0.0,0.0,1.0,0.0,0.0,720.0,150.0,2650.0,2210.0,2.0
1089,0.0,2.0,0.0,410.0,1800.0,0.0,0.0,1.0,0.0,0.0,2210.0,350.0,44620.0,39210.0,3.0
1091,0.0,0.0,0.0,0.0,610.0,0.0,0.0,1.0,0.0,0.0,610.0,120.0,2060.0,1770.0,1.0
1093,0.0,0.0,0.0,0.0,930.0,0.0,0.0,1.0,0.0,0.0,930.0,250.0,2810.0,2410.0,1.0
1095,0.0,0.0,0.0,0.0,2320.0,0.0,0.0,1.0,0.0,0.0,2320.0,360.0,10390.0,9040.0,1.0
1097,1.0,16.0,170.0,8210.0,0.0,1250.0,0.0,0.0,1.0,0.0,9640.0,1960.0,53470.0,47110.0,18.0
1099,0.0,1.0,0.0,70.0,580.0,0.0,0.0,1.0,0.0,0.0,650.0,180.0,2260.0,1930.0,2.0
11001,1.0,27.0,2900.0,31460.0,0.0,2050.0,0.0,0.0,3.0,0.0,36410.0,5850.0,126290.0,116250.0,31.0
1101,0.0,6.0,0.0,1010.0,2430.0,0.0,0.0,1.0,0.0,0.0,3440.0,720.0,30820.0,27420.0,7.0
1103,0.0,2.0,0.0,330.0,1940.0,0.0,0.0,1.0,0.0,0.0,2270.0,380.0,13290.0,11610.0,3.0
1105,0.0,1.0,0.0,30.0,550.0,0.0,0.0,2.0,0.0,0.0,580.0,150.0,1150.0,950.0,3.0
1107,0.0,0.0,0.0,0.0,650.0,0.0,0.0,1.0,0.0,0.0,650.0,130.0,2250.0,1980.0,1.0
1109,0.0,1.0,0.0,40.0,1030.0,0.0,0.0,1.0,0.0,0.0,1070.0,220.0,5450.0,4660.0,2.0
1111,0.0,1.0,0.0,90.0,700.0,0.0,0.0,1.0,0.0,0.0,790.0,210.0,2240.0,1870.0,2.0
1113,0.0,1.0,0.0,90.0,1130.0,0.0,0.0,1.0,0.0,0.0,1220.0,260.0,7610.0,6800.0,2.0
1115,0.0,0.0,0.0,0.0,1470.0,0.0,0.0,1.0,0.0,0.0,1470.0,350.0,9950.0,8790.0,1.0
1117,0.0,0.0,0.0,0.0,2780.0,0.0,0.0,1.0,0.0,0.0,2780.0,310.0,25820.0,22450.0,1.0
1119,0.0,1.0,0.0,40.0,600.0,0.0,0.0,1.0,0.0,0.0,640.0,150.0,1810.0,1550.0,2.0
1121,0.0,1.0,0.0,90.0,1670.0,0.0,0.0,2.0,0.0,0.0,1760.0,420.0,9480.0,8230.0,3.0
1123,0.0,0.0,0.0,0.0,1460.0,0.0,0.0,2.0,0.0,0.0,1460.0,320.0,4030.0,3480.0,2.0
1125,0.0,3.0,0.0,110.0,4050.0,0.0,0.0,1.0,0.0,0.0,4150.0,680.0,32440.0,28230.0,4.0
1127,0.0,5.0,0.0,130.0,1600.0,0.0,0.0,1.0,0.0,0.0,1730.0,420.0,6930.0,6050.0,6.0
1129,0.0,1.0,0.0,440.0,360.0,0.0,0.0,1.0,0.0,0.0,800.0,240.0,1710.0,1460.0,2.0
1131,0.0,1.0,0.0,20.0,720.0,0.0,0.0,1.0,0.0,0.0,740.0,150.0,1190.0,1000.0,2.0
1133,0.0,0.0,0.0,0.0,590.0,0.0,0.0,1.0,0.0,0.0,590.0,150.0,2200.0,1860.0,1.0
12001,0.0,4.0,0.0,310.0,5700.0,0.0,0.0,4.0,0.0,0.0,6020.0,940.0,44570.0,39750.0,8.0
12003,0.0,1.0,0.0,30.0,520.0,0.0,0.0,1.0,0.0,0.0,550.0,180.0,3180.0,2750.0,2.0
12005,0.0,0.0,0.0,0.0,2900.0,0.0,0.0,1.0,0.0,0.0,2900.0,610.0,21480.0,19290.0,1.0
12007,0.0,2.0,0.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,580.0,150.0,2360.0,2050.0,2.0
12009,0.0,6.0,0.0,1290.0,6990.0,0.0,0.0,4.0,0.0,0.0,8280.0,2880.0,57680.0,50920.0,10.0
12011,1.0,5.0,3640.0,480.0,3970.0,0.0,200.0,2.0,0.0,1.0,8280.0,1100.0,235350.0,210640.0,9.0
12013,0.0,0.0,0.0,0.0,280.0,0.0,0.0,1.0,0.0,0.0,280.0,90.0,1270.0,1090.0,1.0
12015,0.0,2.0,0.0,290.0,890.0,0.0,0.0,1.0,0.0,0.0,1180.0,290.0,12230.0,10790.0,3.0
12017,0.0,4.0,0.0,2370.0,500.0,0.0,0.0,1.0,0.0,0.0,2870.0,560.0,10570.0,9220.0,5.0
12019,0.0,4.0,0.0,470.0,1430.0,0.0,0.0,1.0,0.0,0.0,1900.0,670.0,24490.0,21230.0,5.0
12021,2.0,6.0,3930.0,1040.0,1160.0,0.0,0.0,2.0,0.0,0.0,6130.0,1050.0,31840.0,28070.0,10.0
12023,0.0,1.0,0.0,90.0,500.0,0.0,0.0,2.0,0.0,0.0,590.0,100.0,7080.0,6220.0,3.0
